release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name
1997-07-11,/eyvCvpFkA9bROmbgEmrTsckfpW0.jpg,2.78,43,5.3,0,0,95,Released,FALSE,/c21e9gru5KLk6rHZGADz2AlqR8M.jpg,"Crime, Drama, History, Horror, Thriller",NA,NA
2010-07-02,/4W5f2stIxD8XiToARVHq3FCw5Od.jpg,2.78,38,6.1,0,0,98,Released,FALSE,/qjKHmLokI14sLVMJaTtqZ4TtYSI.jpg,"Drama, Horror, Thriller",NA,NA
2015-01-12,/gjk2xJGni488UDMAVMTu8MjRqSi.jpg,2.78,22,4.7,0,0,81,Released,FALSE,NA,"Comedy, Horror",NA,NA
1980-10-12,/2xRBNPJ9gpN5pQdyj3KUBUD9UIw.jpg,2.779,7,5.6,0,0,96,Released,FALSE,NA,"Horror, Science Fiction, Thriller, TV Movie",374384,Stepford Collection
1991-08-16,/7BRebTEMQ18yUaKYGhkfuLYi1yL.jpg,2.779,9,6,0,0,55,Released,FALSE,/3YdsOcWPHZgNPpmEBBgHVyyoRmV.jpg,"Animation, Horror",284185,Mermaid Forest Collection
2015-05-01,/8N76o3aMsVq5sKaaIbenNoGemkg.jpg,2.779,12,5.1,0,0,86,Released,FALSE,NA,Horror,NA,NA
2022-03-18,/rildw9Z8UUVugoSBmPHzkGYxhB7.jpg,2.779,3,1.7,0,0,83,Released,FALSE,/d16mSd9MQu8ENmuuxVJliQeAM4v.jpg,"Comedy, Horror",NA,NA
2022-09-29,/ioiSw32uYLjrA84TUYcHyYQk2Dl.jpg,2.779,0,0,0,0,95,Released,FALSE,NA,Horror,NA,NA
2018-12-04,/dpz5VrvuWUAAodPhPHv5qCHU7Vl.jpg,2.778,12,4.8,0,3882,75,Released,FALSE,/fOIWdJZ0hrmEp0U2HlIOrnJ1cPn.jpg,"Adventure, Animation, Family, Fantasy, Horror",558854,Howard Lovecraft Collection
2020-09-11,/mSlmVGukZquWwiw3Bv2sArX5UmE.jpg,2.778,14,5,0,0,79,Released,FALSE,/78ycoJaCgjtB0YbDIHaObFwJkvG.jpg,Horror,881468,Fear PHarm Collection
1993-02-09,/t9q1xO0ixRShszZyiw1smQEkhZS.jpg,2.777,21,6.7,0,0,92,Released,FALSE,/pcPlJf7hw2gaW7krTSlQnLh3wMu.jpg,"Horror, Thriller, TV Movie",NA,NA
